STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
ALDI #28,1519765,5273,15154,A,4934 S KEDZIE AVE,60632,BRIGHTON PARK,58,14,17031630300,170316303002000,1155840.365,1871594.263,41.80344571,-87.70398627,"(41.8034457131, -87.7039862718)"
ALDI #30,1547427,5273,15154,A,3030 S KEDZIE AVE,60623,SOUTH LAWNDALE,30,12,17031840800,170318408002012,1155473.098,1884225.253,41.83811415,-87.70499446,"(41.8381141517, -87.7049944648)"
ALDI #32,1975885,5273,16924,A,1840 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031832600,170318326002019,1168978.244,1912136.792,41.91442371,-87.65462784,"(41.9144237141, -87.654627843)"
ALDI #70,1997726,5273,18263,A,7627 S ASHLAND AVE,60620,AUBURN GRESHAM,71,17,17031710300,170317103001013,1167042.618,1854021.323,41.75499092,-87.66340416,"(41.7549909175, -87.6634041558)"
ALDI #79,1515471,5273,15150,A,7800 S SOUTH CHICAGO AVE,60619,AVALON PARK,45,5,17031834300,170318343002003,1187754.155,1853373.518,41.75274564,-87.58752349,"(41.7527456405, -87.5875234853)"
ALDI FOODS #91,13994,5273,15565,A,3835 W MADISON ST,60624,WEST GARFIELD PARK,26,28,17031260800,170312608001000,1150675.921,1899694.81,41.88065941,-87.72219367,"(41.8806594115, -87.7221936689)"
ALDI FOODS -STORE #04,13988,5273,12500,A,800 N KEDZIE AVE,60651,HUMBOLDT PARK,23,27,17031836600,170318366001013,1154853.936,1905175.142,41.89561531,-87.70670533,"(41.8956153135, -87.7067053251)"
ALDI FOODS STORE #2,14004,5273,15600,A,4645 W DIVERSEY AVE,60639,HERMOSA,20,31,17031190900,170311909001000,1144687.324,1918165.88,41.93146094,-87.74371731,"(41.9314609382, -87.743717307)"
ALDI FOODS STORE #26,13998,5273,15540,A,2600 N CLYBOURN AVE,60614,LINCOLN PARK,7,32,17031070700,170310707002008,1163612.486,1917295.732,41.928695,-87.67419508,"(41.9286950012, -87.6741950831)"
ALDI FOODS STORE #30,14000,5273,14860,A,4030 W WRIGHTWOOD AVE,60639,LOGAN SQUARE,22,31,17031220702,170312207022005,1148929.317,1917009.95,41.92820785,-87.72815856,"(41.9282078544, -87.728158558)"
